num_people,has_children,has_elderly,has_pregnant,has_disabled,medical_emergency,water_level_cm,disaster_type_encoded,road_blocked,distance_to_nearest_shelter_km,people_visible_in_image,severity_estimate_encoded,priority_score
5,0,0,0,0,0,147,4,1,1.2384013173458601,2,0,70.67121408487526
2,0,0,0,0,0,162,2,1,9.352422627960227,3,0,66.91450378741568
4,1,1,0,0,1,100,0,0,5.158546954559551,1,1,98.81220237922513
7,0,1,0,0,0,194,2,0,11.020864576823861,3,0,78.21104589156789
8,0,0,0,0,0,59,1,1,7.347033193353975,3,0,65.39277545244958
3,1,1,0,0,0,97,2,0,6.349110903644278,0,0,63.38258539400769
1,1,0,0,0,0,161,0,1,5.292893601810399,3,2,85.73220398422484
4,0,0,0,0,0,99,0,0,1.3833245885183216,4,2,68.31830124120879
2,0,0,0,0,1,98,0,0,3.1518903049203004,5,0,70.59235611622996
8,1,0,0,0,0,72,3,0,9.622627324328434,3,2,82.49366812266389
4,1,0,0,0,0,221,3,0,7.5015998612275565,0,1,72.00030179900477
2,1,0,0,0,0,118,1,1,1.1443328289228378,4,0,77.69972836495512
6,0,0,0,0,0,181,2,0,8.204880592833836,1,2,88.11687282438142
6,0,0,0,0,0,127,4,0,0.9067256555913347,2,1,69.15411016982364
4,0,0,0,0,0,217,5,0,7.724731518047825,3,2,73.46184134927209
6,1,1,0,0,0,139,1,0,14.477925558793448,4,0,80.58914288076292
2,0,0,0,0,0,87,4,0,4.67943385058299,4,1,60.77921721173333
2,0,0,0,1,0,104,4,0,10.880196765768414,1,0,59.10439208104155
4,1,0,0,0,0,18,1,1,11.20872540482043,1,0,55.21462651757497
8,0,0,0,0,0,235,2,1,6.132407047825981,2,1,89.4990227572548
7,1,0,0,0,0,79,5,1,8.940053046620658,2,2,83.40031692402472
9,0,0,0,0,0,25,4,0,7.13348675139331,0,1,50.18314325487705
8,0,0,0,0,0,150,3,1,4.322108993691014,2,0,64.81373928334634
5,0,0,0,0,0,120,3,1,11.345657218488045,2,0,54.07500430224118
2,1,0,0,0,1,32,1,0,10.572116573161246,4,2,99.88255264833255
5,0,0,0,0,0,105,5,1,13.518178082141137,3,0,52.92094106571402
8,0,0,0,0,0,184,5,1,9.310080076928081,3,0,62.568077132767506
9,1,0,0,0,0,29,4,1,5.891930103823319,5,2,99.14699138493418
9,0,1,0,0,0,150,1,1,10.73871261572986,2,2,93.59394863568764
1,0,0,0,0,0,201,5,1,9.323639820423768,5,1,71.6932513396463
9,0,1,0,0,0,125,5,1,9.287551472729456,5,0,66.3940260714715
7,0,0,0,0,0,35,3,1,12.762582579720496,0,0,47.93775884490205
9,0,1,0,0,0,124,1,0,13.665981227329597,0,1,69.30436966866287
8,0,0,0,0,1,222,4,1,2.785600799883141,3,2,100.0
1,0,0,0,0,0,234,4,0,4.779348340837107,1,2,70.48765204132745
8,0,1,0,0,0,123,3,1,9.789554944416366,4,1,84.27599674187096
8,0,0,0,0,0,213,0,0,8.402596382273375,2,2,80.54890583492202
3,0,0,0,0,0,170,0,0,9.819659925541943,4,0,55.2233125514711
1,0,0,0,1,0,234,5,1,6.55191752997511,2,0,64.88459127423673
8,0,0,1,0,0,245,2,1,6.245341304369138,2,0,94.84749405080954
3,0,1,0,0,0,229,3,0,1.8530431883700411,5,2,99.25643643541119
3,0,0,0,0,1,238,2,0,9.392358777557508,3,0,86.70984998264998
1,0,0,0,0,0,193,5,1,2.7192062232179164,4,0,61.1520166864219
5,1,0,0,0,1,180,3,0,10.098221775005783,4,2,100.0
7,0,0,0,0,0,214,4,0,14.509376424126717,1,0,67.44241934110822
9,1,0,0,0,0,117,3,1,3.9205511293968023,1,0,77.6276982262407
7,1,0,0,0,0,226,1,1,2.2180693497091113,4,1,100.0
9,0,0,0,0,0,122,2,1,0.460211154685911,1,1,85.4233745700139
8,0,0,0,0,0,187,3,1,5.744525076545552,1,0,67.37620189617073
2,0,1,0,0,0,36,2,1,3.2977047769677097,2,2,83.707044058616
1,1,0,1,0,0,60,5,1,7.428705404844647,3,0,65.19283724100528
7,0,0,0,0,0,95,3,1,7.9121598170919825,2,2,78.55389218061109
7,0,0,0,0,0,119,0,0,5.304983391218815,5,1,69.68724733399588
8,0,0,0,0,0,234,2,0,11.273602711944324,1,0,65.42596960214466
5,1,0,0,0,0,180,4,1,13.581619393612016,2,2,97.68671031468114
3,1,1,0,1,0,11,4,0,3.2516941571197835,2,0,68.83191531529455
8,0,0,0,0,0,121,3,0,12.560836823751284,0,0,48.49967981126761
6,0,1,0,0,0,34,4,0,2.054699706355134,2,2,85.31955171086992
3,0,0,0,0,0,232,4,1,3.5076625496981104,2,0,68.33103327829815
1,0,0,0,0,0,66,2,0,8.4650937248834,3,0,49.87156853428158
3,1,0,0,0,0,225,3,1,4.668064182458595,4,0,77.3492279905027
5,0,0,0,0,0,37,2,1,0.7214907797738049,0,0,58.09435664743288
3,0,0,0,0,0,23,3,0,4.493594911475803,0,2,56.19799258268299
1,0,1,0,0,0,229,4,0,13.58256581009385,0,2,76.91593509966582
5,1,0,0,0,0,80,3,0,2.695925112635134,5,0,62.96920952718169
7,1,1,0,0,0,167,5,0,11.479888109657363,0,0,70.40056487623507
7,0,1,0,0,0,192,3,1,10.862001889466772,3,1,88.24323179534507
9,1,0,1,0,0,184,1,1,1.6827497593572067,4,0,100.0
3,0,0,0,0,0,71,3,0,5.008700172299613,5,0,43.70420468334272
7,0,0,0,1,1,245,1,0,2.921408708166778,3,0,100.0
1,0,1,0,0,0,78,2,1,0.4449376997797404,0,0,62.69880133824887
4,0,0,0,0,0,113,1,0,2.6783060610148546,4,1,71.64478787198307
4,0,0,0,0,0,44,2,0,3.1035113303425623,3,2,70.14195243239618
5,1,0,0,0,0,216,3,0,2.5731056848359835,4,1,84.53988987761295
7,0,0,0,0,0,199,2,1,1.4573484206160734,5,1,100.0
7,0,0,0,0,0,124,4,1,7.9419464700973785,3,0,73.32469469815628
4,0,0,0,0,0,243,5,1,4.907321721371816,4,2,87.09045663974685
7,0,0,1,0,0,95,3,0,13.63291548498098,3,2,92.33893243531271
3,1,0,0,0,1,241,1,0,2.889480673489614,0,2,100.0
6,0,0,0,0,0,12,5,1,9.082653188437048,0,0,43.61862003696819
2,0,0,0,0,0,109,0,1,13.519243725558072,0,1,55.70920018241873
9,1,0,0,0,0,206,5,0,0.8031258008816553,5,1,83.77363830964357
5,0,0,0,1,1,5,3,0,7.792534316990701,3,0,80.6932524735354
6,0,0,0,0,0,96,5,0,6.814965306714687,4,2,70.30649237821598
4,0,0,0,0,0,70,5,1,13.938801260353394,4,0,51.10351006162531
7,0,0,0,0,0,224,4,0,9.99009511582799,1,0,60.399694539441754
9,1,0,0,0,0,46,2,1,5.302505008285452,2,0,69.58415034474518
7,1,0,0,0,0,92,5,0,10.701666155771417,0,0,51.25176746573245
1,0,0,0,0,0,229,1,0,8.781544908636375,0,2,72.60106594753023
1,1,0,0,0,0,100,1,0,5.272831480718588,0,0,54.35586445977025
9,0,1,0,0,0,43,4,0,11.800205299747283,1,0,50.971392251767625
9,0,1,0,0,0,31,5,1,10.055729421114828,1,1,65.647305549895
4,0,1,0,0,0,249,5,1,0.18070284530279862,1,0,73.97535593781278
9,0,0,1,0,0,2,4,0,12.990505629563716,0,1,65.61109772695235
3,0,0,1,1,1,181,3,0,6.016669045094842,4,1,100.0
7,0,0,0,0,1,83,0,1,9.717169248751084,0,0,72.20974642853609
6,1,0,0,0,0,205,0,0,6.011847982481584,1,2,85.55906716397163
8,0,0,0,0,1,219,2,0,13.232294459085113,1,1,100.0
9,0,0,1,0,0,165,1,0,9.79744814821634,2,1,86.55644961266334
5,0,1,0,0,0,3,3,0,8.732854515594317,3,2,75.95250875780465
1,0,0,0,0,0,206,1,0,14.705944776527963,2,1,64.42040230528457
3,0,0,0,0,0,144,3,0,4.281543748903699,2,0,49.07303670275781
8,0,0,0,0,0,164,4,0,1.0722889301132046,0,0,58.02651597054739
6,1,0,0,0,0,87,2,1,7.788555450301552,3,1,83.17543909297201
8,0,0,0,0,0,229,4,0,6.417865723857498,3,2,89.85349972526717
9,0,1,0,0,0,105,1,0,6.868921731247971,0,0,63.71534173187306
4,0,0,0,0,1,104,2,1,9.339562090457441,4,0,94.47921393099784
1,0,1,0,0,1,35,5,0,9.265312385397204,5,1,79.14057683226407
1,0,0,0,0,0,57,3,0,5.944737970639812,0,1,43.57115992786048
4,1,1,0,0,0,168,3,0,12.956867657042066,4,0,80.24621274647299
7,0,0,0,0,0,7,2,1,9.806731791358766,4,2,81.50288924437451
2,0,0,0,1,0,194,4,0,13.35968401871915,3,2,86.4029078112691
3,0,0,0,0,0,157,2,1,13.705993186026442,0,1,71.19966288105483
1,0,0,0,0,0,85,4,1,2.592949930326729,0,0,50.228770406533435
5,0,1,0,0,0,179,2,1,10.240371920976798,3,1,91.57450734424907
1,1,0,0,1,0,96,4,1,4.830926771180876,2,0,76.458695640879
8,0,0,0,0,1,152,0,0,12.56279291277234,0,1,85.39008404889198
1,1,1,0,0,0,179,2,0,11.019488536867026,5,0,79.24777458273199
1,0,0,0,0,0,58,4,0,3.06134054413521,5,1,57.319073387068144
2,1,0,0,0,0,29,5,0,14.087088420897986,1,0,40.42918427827102
2,0,0,0,0,1,100,1,1,10.28383720418711,1,2,100.0
6,0,0,1,0,0,66,1,0,14.234633238239963,0,1,74.7762479257151
7,0,1,0,0,0,131,2,0,3.1084764656817865,4,2,100.0
5,1,0,0,1,0,92,2,1,13.058605906539647,5,0,91.82970162629739
1,0,0,0,0,0,184,3,1,10.054285024192966,5,0,60.145643844573115
1,0,0,0,0,0,62,4,1,8.329070247361427,3,0,49.87018638851562
3,0,1,0,1,0,31,2,1,12.325642207929478,5,0,79.25357238820426
2,1,0,0,0,0,86,1,0,9.529671914001076,4,0,55.75562160154273
5,0,1,0,0,0,247,1,0,10.07704239222636,1,1,80.23299262657054
6,1,0,0,0,0,210,1,0,3.8796917054157545,1,1,82.13391354719134
7,0,0,1,0,0,206,4,0,12.274099960606241,3,0,77.28443888506729
4,0,1,0,0,0,50,0,0,9.789510264676988,1,0,53.192569615829974
7,0,0,0,0,0,62,2,1,12.68139876264194,2,1,76.57788883488614
8,1,0,0,0,0,79,0,1,5.337751786596417,1,0,64.51068231008337
1,0,0,1,0,0,86,4,1,5.042480823845271,5,2,93.14517953631076
6,1,0,0,0,0,231,5,1,0.45615417251711654,4,0,79.92035437865269
8,0,0,0,0,0,109,2,0,11.552219369238276,4,0,65.88477228874464
5,0,1,0,0,0,100,3,0,5.021684367667099,2,0,62.77281858243847
4,0,1,0,0,0,128,2,1,4.975463414616821,4,0,79.19742015852331
2,0,0,0,0,0,18,2,0,10.361399280574068,4,2,63.83017247562223
6,1,0,0,0,0,100,2,1,3.867747753914635,4,0,82.88806981641225
6,1,0,0,0,1,162,2,0,13.644405250327129,0,1,100.0
1,1,0,0,0,0,190,5,1,8.117183269702728,2,0,61.1972869059922
9,1,0,1,0,0,93,2,1,14.54521081707591,2,1,96.56557866151658
6,0,1,1,0,0,80,4,1,1.242365784382868,1,2,100.0
3,0,0,0,0,0,102,2,0,5.118697977920974,5,2,77.79355286067384
4,1,1,0,0,0,112,5,0,5.783908116874499,2,0,59.87415683171032
4,0,0,0,0,0,153,4,0,10.983268729200638,3,2,74.01643081767459
3,1,0,0,1,0,12,2,0,3.273137643166145,2,0,61.5879230580866
3,1,0,0,0,0,117,2,1,5.692653215400309,3,0,72.56132936025806
3,0,0,0,0,0,85,4,1,13.668573904968117,4,1,67.588311499477
4,1,0,0,0,0,237,2,0,1.8068081669665321,5,2,100.0
7,0,1,0,0,0,22,5,0,11.205327609814123,3,0,51.710352158280806
4,0,0,0,0,0,235,1,1,10.567028163249294,5,1,87.87206182836829
9,0,1,0,0,0,106,2,0,2.044525641252225,5,0,83.14057106075893
1,0,0,0,0,1,224,3,0,10.358511241791776,0,0,67.42639873100833
8,0,1,0,0,0,218,4,0,8.589778460702755,5,2,96.5751249795087
7,0,0,0,0,0,162,5,0,4.384082823446864,4,1,69.13572297013047
2,1,1,0,0,0,11,2,0,4.736003806283038,3,0,66.3718170224991
8,1,0,0,0,0,136,2,0,12.511584902502857,5,1,86.09399644409665
1,0,0,0,0,0,225,4,1,3.542123295366704,4,1,77.52287189217417
9,0,1,0,1,0,77,0,1,7.740429888472348,0,1,89.29738787368498
9,1,0,0,0,0,228,5,0,10.249131085817632,4,0,65.99126028041889
2,0,0,0,0,0,66,5,0,2.035535245619127,4,0,40.599969013262964
7,0,0,0,0,0,107,1,1,13.992072681123085,2,2,87.81625337812396
3,0,1,0,0,0,43,1,1,3.9834512939229443,1,1,71.21494148033574
7,0,0,0,0,0,188,2,0,4.85064035274795,3,1,83.61327499095907
9,0,0,0,0,0,148,4,0,10.025124497827935,1,1,69.530341321708
4,1,0,0,0,0,6,3,0,1.265055542328389,0,0,47.06237883426677
1,0,0,0,1,0,127,2,0,9.451429079787388,0,1,64.29078209445824
2,0,1,0,0,0,96,1,1,13.748846406767681,4,0,67.29743188312531
1,0,0,0,0,0,226,2,0,3.8114492739912293,1,0,54.310208053767354
5,0,0,0,0,0,10,4,1,5.49242512909058,3,0,53.10256102313556
5,0,1,0,0,0,172,5,0,3.5617759670667404,3,1,77.2449564419519
7,1,0,0,0,0,159,5,1,12.299654358802718,4,0,74.4434019903915
9,1,0,0,0,0,213,5,0,2.5973565702165486,3,0,74.69479722907205
9,0,0,0,0,0,246,5,0,5.264760707994268,2,0,59.063649958482245
3,1,0,0,0,0,105,3,0,9.055225139234535,1,0,51.13333247430902
3,1,0,0,0,0,82,0,0,6.127861046723388,0,0,44.64593386188579
3,1,0,0,1,0,35,3,0,1.075492786155463,3,1,78.34564629649248
4,0,0,1,0,0,117,2,0,14.22103794746488,3,0,73.42065332299796
8,0,0,0,0,1,164,1,0,5.134716582202639,3,0,91.25633052933254
6,0,0,0,0,0,202,4,0,6.740203070195189,4,1,80.64634698538562
8,0,0,0,0,1,40,2,0,2.59642549453015,0,1,85.5890098329609
1,0,0,0,0,0,204,0,1,12.993718561784256,1,1,55.163494543667774
8,0,0,0,0,1,91,4,0,4.4422889391827125,3,0,86.0071758175698
4,1,0,0,0,0,48,4,1,0.395363346651988,2,2,88.54909877117457
1,1,0,0,0,1,142,4,1,4.814398480559964,5,0,97.03189874073446
8,1,0,0,0,0,140,2,1,14.762489299540151,4,1,92.30404458332737
4,0,0,0,0,0,52,0,0,2.2879588049434285,1,0,40.41545866111445
6,0,0,0,0,0,106,2,0,0.5649170710290586,3,0,61.12853309748309
8,0,0,0,1,1,32,4,0,8.714816294411841,1,1,93.1861068656421
4,0,0,0,0,0,199,4,0,5.63783154236587,4,0,59.273437102955725
3,0,0,0,0,0,118,1,0,11.945131958235727,5,0,56.61984298557412
9,0,1,0,0,0,31,3,0,11.005127681495008,2,1,62.98384794855338
3,0,1,0,0,0,228,2,0,2.862743518687416,3,1,86.6258337648556
9,1,0,0,0,0,117,0,0,8.513021346810987,2,1,68.02592278829977
2,0,0,0,0,0,175,4,0,0.5832965110956647,4,1,74.7328870204473
2,1,0,0,0,1,195,2,0,6.648225599203707,2,1,100.0
2,0,0,0,0,1,184,3,0,10.739393007328527,4,0,77.33447537814394
6,0,0,0,0,0,61,2,0,6.282886002107774,5,2,82.4201269110558
3,0,0,0,0,0,242,3,0,1.8575168025203974,2,1,73.38949084108788
9,0,0,0,0,0,81,2,1,1.0168504461413757,1,1,74.74225830266658
4,0,0,0,0,0,214,1,1,12.819525801739532,1,0,63.663106358841816
1,0,0,0,0,0,220,2,0,13.38077170324179,4,2,77.0346674883173
4,0,0,0,0,0,129,5,1,5.2120779701452165,1,0,50.250128691947424
1,0,0,0,0,0,76,1,0,2.5461676369982187,5,1,65.3120946896184
5,0,0,0,0,1,15,3,0,14.681381575550894,2,0,64.32039487649922
4,1,0,0,0,1,245,4,0,8.233370673658037,2,1,100.0
8,0,0,0,0,0,122,4,1,7.202160151365786,3,0,68.20387717861935
8,1,0,0,0,1,7,2,0,11.149955436159859,4,1,98.6065242492303
7,0,0,1,1,0,146,0,0,2.6161531573782884,1,0,85.20035833859639
3,1,0,0,0,0,159,2,0,8.741846878718272,5,0,76.4929455511062
1,1,0,0,1,0,66,1,1,13.363419110473075,4,2,95.08184556355543
1,0,1,0,0,0,114,1,0,0.4437204404740931,1,0,56.988755708271455
3,0,1,0,0,0,112,3,0,10.126801632096269,3,0,60.57945549134682
6,1,0,0,1,0,31,2,0,8.316216940695941,2,0,72.58025789952646
7,0,0,0,0,0,104,3,1,14.26693168866932,2,2,77.84626400546999
6,0,0,0,0,0,212,0,0,3.954607797840987,5,0,66.79886485752506
6,0,1,0,0,0,24,4,1,12.897485464702957,0,0,63.885247714768724
6,1,0,0,0,0,52,4,0,4.703886958060945,4,1,73.33729831527177
3,1,1,0,0,0,246,2,0,6.504967283337327,1,0,79.44637775581988
6,0,0,0,0,0,80,3,0,3.2779847149909767,0,0,49.882926473095
8,0,0,0,0,0,24,3,0,12.96750613520409,4,2,68.23005284469177
2,0,1,0,0,0,32,0,1,3.011603943738787,1,0,50.55587355423979
5,0,0,0,0,1,30,3,1,12.899293599641728,3,1,88.90111251310255
1,1,0,0,1,0,35,5,1,6.88863940030116,4,1,71.13634524455493
1,0,0,0,0,0,86,5,1,12.542773857870628,1,2,61.268090099076375
5,0,0,0,0,0,122,1,0,4.040879530736989,2,2,79.39180944926481
3,0,0,1,0,0,238,5,1,2.077679106430977,4,0,82.51062891083542
4,1,0,0,0,0,235,5,1,8.368922847902537,1,1,75.44364236993042
3,0,0,0,0,0,216,1,0,7.690612299130176,5,1,75.21000907770492
1,0,0,0,0,0,176,5,0,5.413449932252635,2,0,37.70111723557444
1,0,1,0,0,0,43,5,0,9.976039136222374,2,0,41.823294963312804
5,0,0,0,0,0,47,1,0,1.5176281484869225,0,2,75.32285509345414
6,0,0,0,0,1,157,2,0,9.367816016235428,1,0,87.15170846978509
3,0,0,0,0,0,12,1,1,3.2551657931535307,0,0,48.19060319492869
9,0,0,0,0,1,170,1,1,2.0214228847173272,5,2,100.0
5,1,0,0,0,0,238,5,0,13.653161883867803,0,1,65.62382833093174
8,1,1,0,0,0,220,4,0,6.950956841192135,3,0,91.26691972745019
1,1,0,1,0,0,143,5,0,11.474911386661564,0,0,57.976223261993475
5,0,0,1,0,0,229,2,0,1.4278422338829058,0,0,75.64114153783532
3,1,0,0,0,0,90,1,0,0.956226682290642,3,2,81.87425620606795
1,0,0,0,0,0,153,0,1,7.473297972523866,3,2,68.88019395443824
4,0,1,0,0,0,202,1,1,4.801712158022449,4,0,85.96579773256315
5,0,0,0,0,0,174,2,0,0.1731186583912912,0,2,85.16210754024415
7,0,0,0,0,0,164,3,0,2.8310902089931176,2,0,65.54294688866062
1,0,0,1,0,0,130,5,0,3.359755180807823,3,1,72.30953983430501
3,0,0,1,0,1,153,4,0,4.398744682513298,1,0,98.33496794144381
2,0,0,0,0,1,225,4,0,13.175280097945933,4,1,89.9239315136824
9,0,0,0,0,0,224,5,1,6.366977713866333,4,0,71.67430473616236
6,0,0,0,0,0,142,5,1,10.223542618108592,0,0,56.590544368486576
3,0,0,0,0,0,65,2,1,0.3741017806568413,5,0,65.24249008343178
8,0,0,0,0,0,27,1,1,12.22749260045473,2,0,57.561373186465744
8,1,1,0,1,1,124,0,1,3.6809012685266174,5,2,100.0
2,1,1,0,0,0,211,1,1,4.704686000765475,5,2,100.0
6,0,0,0,0,0,165,1,1,0.7743208366068743,3,2,100.0
7,0,0,1,0,0,171,0,0,6.204424299006869,1,0,71.70314825771635
2,0,0,0,0,0,180,4,0,12.803393913826671,0,0,47.48499865504627
2,1,0,0,0,1,79,1,0,5.743140445992308,2,0,77.35774419326428
1,0,0,0,0,0,237,3,0,13.638218534270248,0,0,48.95398597704844
8,0,0,0,0,0,131,3,1,13.02496928757096,0,0,59.3249164072557
1,0,1,0,0,0,71,2,0,1.0232180506154571,4,1,72.32325843815133
9,0,1,0,0,0,43,2,0,4.648551962349009,5,0,69.43733852953748
6,0,0,1,0,0,118,0,0,13.665217882010163,1,2,86.4813872416847
7,1,0,0,0,1,45,0,0,0.5441532428725802,1,1,87.82365095137527
7,0,0,0,0,0,83,2,0,11.510543440670517,1,0,48.67578859319388
3,0,0,0,0,0,25,5,0,13.605776889353878,1,1,36.87374015578238
2,1,0,0,0,0,95,1,0,11.580321835203819,3,0,58.541062344060805
9,1,0,0,0,0,12,5,0,11.182833323388024,3,0,50.215189044850916
8,0,1,0,0,1,124,4,0,12.666001056695531,1,0,89.8214742871772
7,0,0,0,0,0,68,3,0,10.020264459376968,2,1,58.283726484555494
9,0,0,0,0,0,171,0,1,6.4041332128662765,3,0,68.37378740811957
4,1,0,0,1,0,233,2,0,1.0350577148923221,3,1,100.0
4,0,0,0,0,0,180,3,0,11.840714930715244,2,0,55.749347194515565
1,1,0,0,1,0,50,5,1,13.588279221709284,1,0,55.23278824584951
8,0,1,0,0,1,12,0,0,7.722638277142683,0,0,72.02458422492279
3,0,0,0,0,1,168,0,0,8.034406069391272,3,1,85.6606088098691
7,0,0,0,1,0,138,1,1,6.108976063776408,0,1,87.95346902766867
2,0,0,0,0,0,164,0,0,12.867550901424499,0,1,48.66553772441543
2,0,0,0,0,1,59,4,0,0.3205692290573434,2,0,72.13652612775657
7,0,1,1,0,0,31,0,1,9.405773389266258,1,0,74.28769634604662
6,0,0,0,0,0,172,4,1,13.620455156605193,5,1,82.83266341711712
3,1,1,0,0,0,233,5,0,1.6380126504307844,0,0,71.74029927377681
9,0,0,0,0,0,17,1,1,14.391551607230019,1,0,47.992002188807206
6,1,0,0,0,0,92,4,1,14.5184046441232,4,0,81.65771910058368
6,0,0,1,0,0,206,5,0,13.953855580826696,5,1,92.65560587693938
1,0,0,0,0,0,147,3,1,6.991936829981645,5,1,74.87945841148137
4,0,0,0,0,0,43,0,0,5.80625304518123,5,0,44.90728609041878
6,0,1,0,0,0,163,2,0,10.618621274178354,1,1,84.02201166066372
6,1,0,0,1,0,196,2,1,4.848484247366966,2,1,100.0
5,0,0,0,0,0,231,4,0,1.1183278811213044,2,0,67.23287061485186
1,0,0,0,0,0,36,1,1,13.531190234094264,4,0,49.1550959365075
8,0,0,0,0,0,160,4,1,9.559355292983142,2,1,76.83956044258018
5,0,0,0,0,0,209,5,1,3.186602024539891,1,1,71.49396906578743
5,0,0,0,0,1,126,5,0,0.3742875640894374,5,0,82.16031446816643
7,1,0,0,0,0,18,4,0,10.880387907276488,1,1,72.60858346937377
4,1,0,0,0,0,178,4,1,12.806718849189494,5,0,84.7166020096191
6,0,0,0,1,1,31,3,0,6.144148877160074,1,1,92.28492681619817
4,0,0,0,0,0,105,5,0,1.3053833417118619,2,0,45.30374797790221
3,0,0,1,0,1,21,3,1,9.764456441735213,1,0,84.58675954038677
7,0,0,0,0,0,232,4,0,4.524242878299989,3,1,76.89903305610181
8,0,1,0,0,0,121,1,0,2.2448062017591264,5,0,77.29341852790594
4,0,0,0,0,0,128,0,0,7.704908672572892,5,0,48.09289944341755
2,0,0,0,1,0,53,5,0,7.279471500894642,4,1,58.93282500569014
3,0,0,0,0,0,216,2,0,7.799879095252663,3,1,74.9488858425458
1,0,0,0,0,0,147,3,0,12.376591621032066,1,1,50.56860931356602
8,0,1,1,0,0,57,5,0,7.3197336489175155,2,0,69.39430256986817
3,0,0,0,0,0,162,0,1,13.51805463821336,4,1,70.07340514625967
7,0,1,0,0,0,236,3,0,12.64297823237027,3,0,72.40461769810354
5,1,1,0,0,0,69,5,1,9.80162764431971,1,0,68.96832856252702
5,0,0,0,0,0,197,3,0,0.9470926783190591,2,0,63.18739890629208
7,0,0,1,1,0,188,3,1,12.987671402996247,1,0,90.65752274278107
9,0,0,0,0,0,241,4,1,13.593023238756441,5,0,72.71614269990152
5,1,0,0,0,0,62,4,0,5.6882023042033625,3,0,66.1621249494713
1,0,0,0,0,0,228,3,1,7.939661218883463,3,2,80.90791556360938
1,0,0,0,0,0,240,3,0,4.287207992514055,4,2,76.60694413270268
2,0,0,0,0,1,188,2,0,0.31927337671013956,2,2,100.0
6,1,0,0,0,0,248,0,1,7.2438208136550495,0,1,88.03218852083319
9,1,0,0,0,0,184,0,1,2.0274487033267055,1,2,97.81409213875118
8,0,1,0,0,0,2,1,0,2.8315381823760806,2,0,64.42832425251888
5,1,0,0,0,0,228,1,1,7.2625910931716975,0,1,89.30612211811075
1,1,1,0,0,0,222,1,0,13.018871280602331,2,0,65.47588007888893
7,1,0,0,0,1,98,4,1,12.685026809138808,1,0,98.60064393642759
